Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
4.209575,50.4,648.325,467.6040765,13.7765765,0
4.21675,51.66,648.325,467.657558775,13.830058775,0
4.2241,52.92,648.325,467.7123616,13.8848616,0
4.231625,54.18,648.325,467.768484975,13.940984975,0
4.239325,55.44,648.325,467.8259289,13.9984289,0
4.2472,56.7,648.325,467.884693375,14.057193375,0
4.25525,57.96,648.325,467.9447784,14.1172784,0
4.263475,59.22,648.325,468.006183975,14.178683975,0
4.271875,60.48,648.325,468.0689101,14.2414101,0
4.28045,61.74,648.325,468.132956775,14.305456775,0
4.2892,63,648.325,468.198324,14.370824,0
4.298125,64.26,648.325,468.265011775,14.437511775,0
4.307225,65.52,648.325,468.3330201,14.5055201,0
4.3165,66.78,648.325,468.402348975,14.574848975,0
4.32595,68.04,648.325,468.4729984,14.6454984,0
4.335575,69.3,648.325,468.544968375,14.717468375,0
4.345375,70.56,648.325,468.6182589,14.7907589,0
4.35535,71.82,648.325,468.692869975,14.865369975,0
4.3655,73.08,648.325,468.7688016,14.9413016,0
4.375825,74.34,648.325,468.846053775,15.018553775,0
4.386325,75.6,648.325,468.9246265,15.0971265,0
4.397,76.86,648.325,469.004519775,15.177019775,0
4.40785,78.12,648.325,469.0857336,15.2582336,0
4.418875,79.3800000000001,648.325,469.168267975,15.340767975,0
4.430075,80.6400000000001,648.325,469.2521229,15.4246229,0
4.44145,81.9000000000001,648.325,469.337298375,15.509798375,0
4.453,83.1600000000001,648.325,469.4237944,15.5962944,0
4.464725,84.4200000000001,648.325,469.511610975,15.684110975,0
4.476625,85.6800000000001,648.325,469.6007481,15.7732481,0
4.4887,86.9400000000001,648.325,469.691205775,15.863705775,0
4.50095,88.2000000000001,648.325,469.782984,15.955484,0
4.513375,89.4600000000001,648.325,469.876082775,16.048582775,0
4.525975,90.7200000000001,648.325,469.9705021,16.1430021,0
4.538475,90,648.325,16.0888865,16.0888865,0
4.550975,90,648.325,16.0888865,16.0888865,0
4.563475,90,648.325,16.0888865,16.0888865,0
4.575975,90,648.325,16.0888865,16.0888865,0
4.588475,90,648.325,16.0888865,16.0888865,0
4.600975,90,648.325,16.0888865,16.0888865,0
4.613475,90,648.325,16.0888865,16.0888865,0
4.625975,90,648.325,16.0888865,16.0888865,0
4.638475,90,648.325,16.0888865,16.0888865,0
4.650975,90,648.325,16.0888865,16.0888865,0
4.663475,90,648.325,16.0888865,16.0888865,0
4.675975,90,648.325,16.0888865,16.0888865,0
4.688475,90,648.325,16.0888865,16.0888865,0
4.700975,90,648.325,16.0888865,16.0888865,0
4.713475,90,648.325,16.0888865,16.0888865,0
4.725975,90,648.325,16.0888865,16.0888865,0
4.738475,90,648.325,16.0888865,16.0888865,0
4.750975,90,648.325,16.0888865,16.0888865,0
4.763475,90,648.325,16.0888865,16.0888865,0
4.775975,90,648.325,16.0888865,16.0888865,0
4.788475,90,648.325,16.0888865,16.0888865,0
4.800975,90,648.325,16.0888865,16.0888865,0
4.813475,90,648.325,16.0888865,16.0888865,0
